Source : http://www.erodocdb.dk/Docs/doc98/official/pdf/TR6101.PDF


Albania			ZA
Austria			OE
Belarus			EU
Belgium			ON
Bosnia/Herz		E7
Bulgaria		LZ
Croatia			9A
Czech Republic		OK
Denmark		 	OZ
Finland		 	OH
France		 	F
Germany	 	 	DL
Greece			SV
Hungary			HA
Italy	 	 	I
Luxembourg		LX
Macedonia		Z3
Moldova			ER
Montenegro		4O
Netherlands	 	PA
Norway		 	LA
Poland		 	SP
Portugal	 	CT (Should be CT7)
Romania			YO
Russia			RA
Serbia			YU
Slovakia		OM
Slovenia		S5
Spain		 	EA
Sweden		 	SM
Switzerland	 	HB (Actually HB9)
Turkey			TA
Ukraine			UT
United Kingdom   	M

